objectid,filename,title,format,description,relationship-to-book,creator,recipient,date,date-is-approximate?,item_extent,subject,location,latitude,longitude,related_publication,publisher-digital,object-provenance,source,identifier,rights,rightsstatement,type,genre,language
amlit011,im_1.pdf,Collage of newspaper clippings related to African American issues,application/pdf,"Includes a variety of newspaper clippings about President Harding's speech in Alabama, South Africa, Marcus Garvey, the Negro World, and other topics. Clippings provided by Henry Romeike clipping service.","Marcus Garvey advocated for the back-to-Africa movement and both him, and his ideals were represented in Invisible Man. The discussions between the main character and Garvey's experience could be seen as Ellison's response to Garvey himself. ",Henry Romeike clipping service,,1921,yes,"2 p., 645 KB","Race relations; African American civil rights workers; Garvey, Marcus, 1887-1940; Harding, Warren G. (Warren Gamaliel), 1865-1923","Alabama, United States",32.3182,-86.9023,Invisible Man,University of Massachusetts Libraries,W.E.B. Du Bois Papers Collection,Courtesy of DPLA https://dp.la/item/1794b1352a08455e79337ef324f692e5,im_1,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Clippings (information artifacts),eng
amlit012,im_2.pdf,TQS from Invisible Man,application/pdf,"A typed quotation from Invisible Man, signed by Ralph Ellison. ","A quote directly from Invisible Man. This quotation, from the novel’s epilogue, asks what is lost when African Americans are expected to assimilate into the white mainstream. It takes on added resonance in the current era of “colorblind” rhetoric.","Ellison, Ralph",,1952-04-14,no,"1 p., 151 KB","Ellison, Ralph 1914-1994; African-Americans","Cambridge, Massachusetts, United States",42.373611,-71.110558,Invisible Man,"South Carolina, Irvin Department of Rare Books and Special Collections via South Carolina Digital Library",The Joel Myerson Collection of 19th Century American Literature,Courtesy of DPLA https://dp.la/item/b2b977a092cc837e84278c216a769bbc,im_2,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en,Text,Novel,eng
amlit013,im_3.pdf,"An excerpt from The Souls of Black Folk by W.E.B. Du Bois about double consciousness, 1903",application/pdf,"In this famous excerpt from The Souls of Black Folk, W. E. B. Du Bois explains the concept of the veil and African American double consciousness.","This excerpt expands on the idea of a ""double consciousness"" explored in Invisible Man.","Du Bois, W. E. B.",,1903,yes,"12 p., 4.9 MB","Du Bois, W. E. B. (William Edward Burghardt), 1868-1963; African-Americans",United States,42.378036,-71.118340,Invisible Man; The Souls of Black Folk,Harvard University via HathiTrust,Harvard Library,Courtesy of DPLA https://dp.la/primary-source-sets/invisible-man-by-ralph-ellison/sources/1610?subject=american-literature&timePeriod=postwar-united-states-1945-to-early-1970s,im_3,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en,Text,Novel,eng
amlit014,im_4.pdf,Re: The Negro Population of Philadelphia and Sub-standard Housing Conditions,application/pdf,"The memo outlines key statistical differences between white and black Philadelphians, particularly with regard to housing. The memo makes clear that African Americans were disproportionately living in substandard conditions, and paying higher rents, with profound implications for health and crime. It suggests that contemporary housing policy did not address the issues facing black residents and that more would have to be done to address systemic inequalities.",This memo explains the housing conditions of African Americans that is discussed in Invisible Man.,"Urban League of Philadelphia; Barnes, Dr.; Shorter, Charles, A",,1939-10-25,no,"2 p., 496 KB",Race relations; Discrimination; Housing,"Philadelphia, Pennsylvania, United States",39.9526,-75.1652,Invisible Man,Temple University via PA Digital,Urban League of Philadelphia Records,Courtesy of DPLA https://dp.la/item/5ad51fe7bf87a4dea9cea01358b25acc,im_4,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Memo,eng
amlit015,im_5.png,Neil O'Brien Minstrels,image/png,"This particular image portrays Neil O'Brien (circa 1868-1954), the leader of ""Neil O'Brien's Great American Minstrels.” O’Brien, in blackface, sits alongside a railroad track and inspects the large hole in his boot while he scratches his head. The caption at bottom reads ""It's a long way to Alabama.” O'Brien began his career in Lew Dockstader's minstrel troupe, became a solo act after 1913, and then founded his own troupe.","This poster is typical of blackface minstrelsy, in which white (or sometimes black) actors darkened their faces and performed exaggerated variety-show routines, including musical and dance numbers, for comical effect. Blackface minstrelsy developed in the early nineteenth century and continued to influence popular culture during the Jim Crow era that Ellison depicts in Invisible Man. Performances centered on scenes of the plantation South, featuring grotesque caricatures of African American types such as the “Sambo” and the dandy.",Cincinnati and New York: The Strobridge Lithographic Company,,1915,yes,1 MB,Race Relations; Minstrel Shows; Performing Arts Posters ,"Alabama, United States",32.3182,-86.9023,Invisible Man,University of Wisconsin Digital Collections via Recollection Wisconsin,Historical Theater Posters,Courtesy of DPLA https://digital.library.wisc.edu/1711.dl/XFEGLH4NGI2WZ9A,im_5,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en,Image; StillImage,Poster,eng
amlit016,fnt_1.mp4,"A video clip of Malcolm X commenting on the lack of protection for protesters in Birmingham, 1963",video/mp4,A video clip in which Malcolm X condemns President John F. Kennedy for only sending in troops after riots occurred but not in order to protect African Americans. ,"The Fire Next Time consists of essays written by James Baldwin in order to express the needs and plight of the Civil Rights Movement. This video clip helps to contextualize how ""left behind"" the movement and African American people felt by the government. Additionally, Malcolm X references Elijah Muhammad, who Baldwin references within his essays. ","WSB-TV (Television station : Atlanta, Ga.)",,1963-05-16,no,"1 minute, 30 sec; 9.17 MB","Race relations; X, Malcolm, 1925-1965; African American civil rights workers; ","Birmingham, Alabama",33.5186,-86.8104,The Fire Next Time,Walter J. Brown Media Archives and Peabody Awards Collection,Original found in the WSB-TV newsfilm collection.,Courtesy of DPLA https://dp.la/item/b4aa3359fe2ffa99c2627444b82a348f,fnt_1,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,moving image,Black and White moving image,eng
amlit017,fnt_2.mp4,A video clip of civil rights protesters being arrested ,video/mp4,"A video clip of civil rights protesters arrested in Danville, Virginia, 1963.",This clip demonstrates the racial injustices discussed in The Fire Next Time,"WSB-TV (Television station : Atlanta, Ga.)",,1963-07-11,no ,1 minute 7 sec; 13.4 MB,Race relations; Civil Rights Movement; African-Americans; Law Enforcement; Protests,"Danville, Virignia",36.5860,-79.3950,The Fire Next Time,Walter J. Brown Media Archives and Peabody Awards Collection,Original found in the WSB-TV newsfilm collection.,Courtesy of DPLA https://dp.la/item/848ab350950069cb1db0e1f562eec538,fnt_2,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,moving image ,Black and White moving image,eng
amlit018,fnt_3.pdf,"An excerpt from a 1982 oral history interview with Gloria Jean Howard mentioning Baldwin's 1963 visit to Greensboro, NC.",application/pdf,"A portion of a transcribed oral history interview with Gloria Jean Howard detailing James Baldwin's visit to Greensboro, NC.",The interview gives further insight into Baldwin's activism. At the same time it provides evidence for the real-world impact of his writings. ,"Pfaff, Eugene",,1982-09-15,no,"1 p., 54KB","Race relations; Baldwin, James, 1924-1987; Oral history; ","Greensboro, North Carolina",36.1359,-79.8702,The Fire Next Time,Greensboro Public Library Oral History Program,Created by Eugene Pfaff for Greensboro Public Library,Courtesy of DPLA https://dp.la/primary-source-sets/the-fire-next-time-by-james-baldwin/sources/1237,fnt_3,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Oral History Interview,eng
amlit019,fnt_4.png,"A photograph of four African American World War II draftees, 1944. ",image/png,A black and white photograph of four African American World War II draftees,"Despite having unequal access to resources and protects, African Americans were still considered for the draft. This photograph displays that unequal balance. ",unknown (personal donation to LA Public Library),,1944,yes,284KB,"Draft; Race relations; World War, 1939-1945 United States; World War, 1939-1945 African Americans;","Los Angeles, California",34.052235,-118.2426,The Fire Next Time,Los Angeles Public Library Shades of L.A. Photo Collection,Reproduction of image found in collections of Los Angeles Public Library,Courtesy of DPLA https://dp.la/primary-source-sets/the-fire-next-time-by-james-baldwin/sources/1232,fnt_4,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Image; StillImage,Black and White Image,eng
amlit020,fnt_5.pdf,"""Letter from Birmingham Jail""",application/pdf,"An excerpt from ""Letter from Birmingham City Jail"" by Martin Luther King Jr. ","""Letter from Birmingham Jail"" is a cry to action to break unjust laws rather than wait for justice. In ""My Dungeon Shook,"" the first essay in The Fire Next Time, Baldwin discusses a similar theme/""call-to-action"" directed towards his nephew. ","King, Martin Luther, Jr.",My dear fellow clergymen,1963-04-16,no,"12 p., 3.4MB","King, Martin Luther, Jr., 1929-1968; Race relations; African-Americas; Civil Rights Movement in Tennessee","Birmingham, Alabama",33.5186,-86.8104,The Fire Next Time,University of Memphis Libraries Special Collections Department via Digital Library of Georgia,Published by the American Friends Service Committee,Courtesy of DPLA https://dp.la/item/356f3e56d09c5a8aa3da628e6844822b,fnt_5,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Image; StillImage,Letter,eng
